Simulation Name,Objects,Sim Time, Last Frame, Min FPS, Max FPS, Min Compared, Max Compared
No Collisions,128,10,298,11.538409,30.548463,0,0
Brute Force,128,10,241,12.080056,31.620521,16384,16384
Octree 1 Levels,128,10,240,11.413041,30.511130,131,174
Octree 2 Levels,128,10,281,16.514958,30.603518,112,251
Octree 3 Levels,128,10,291,12.968157,59.294344,25,338
Octree 4 Levels,128,10,290,11.941725,59.091350,6,385
Octree 5 Levels,128,10,288,8.591945,58.993277,4,465
Octree 6 Levels,128,10,283,8.553223,59.147180,4,616
Octree 7 Levels,128,10,269,7.062283,59.080529,4,1776
Octree 8 Levels,128,10,225,4.286143,59.353918,2,9514
Octree 9 Levels,128,10,19,1.000259,3.755655,12240,89585
No Collisions,256,10,299,17.702863,30.548241,0,0
Brute Force,256,10,101,8.608592,10.025681,65536,65536
Octree 1 Levels,256,10,119,9.959784,12.039347,271,322
Octree 2 Levels,256,10,118,9.492167,12.062754,276,471
Octree 3 Levels,256,10,161,8.575520,20.044080,141,635
Octree 4 Levels,256,10,198,6.660184,30.116998,37,934
Octree 5 Levels,256,10,190,6.662850,30.368420,14,1032
Octree 6 Levels,256,10,184,5.456758,30.033540,0,1964
Octree 7 Levels,256,10,149,4.286034,30.032895,62,4192
Octree 8 Levels,256,10,85,2.728253,20.031253,196,16854
Octree 9 Levels,256,10,11,0.451266,1.154120,48030,154052
No Collisions,512,10,199,13.841400,20.286447,0,0
Brute Force,512,10,32,3.000265,3.159149,262144,262144
Octree 1 Levels,512,10,37,3.339111,3.752120,572,628
Octree 2 Levels,512,10,36,3.159687,3.531472,663,909
Octree 3 Levels,512,10,39,3.244116,4.287352,707,1586
Octree 4 Levels,512,10,57,2.858051,10.005186,282,2246
Octree 5 Levels,512,10,75,2.858024,12.017064,121,3117
Octree 6 Levels,512,10,63,2.401134,12.007982,124,5395
Octree 7 Levels,512,10,31,1.714951,6.668846,2178,15617
Octree 8 Levels,512,10,10,0.750217,0.937830,47653,65311
Octree 9 Levels,512,10,4,0.207679,0.207679,262144,344280
No Collisions,1024,10,120,9.989625,12.075847,0,0
Brute Force,1024,10,9,0.738378,0.750244,1048576,1048576
Octree 1 Levels,1024,10,10,0.860528,0.909385,1222,1236
Octree 2 Levels,1024,10,10,0.882665,0.909416,1658,1731
Octree 3 Levels,1024,10,10,0.882997,0.923378,2434,3076
Octree 4 Levels,1024,10,10,0.811063,0.968078,3885,6104
Octree 5 Levels,1024,10,10,0.789970,1.132408,5913,9546
Octree 6 Levels,1024,10,9,0.645372,1.071743,10700,18855
Octree 7 Levels,1024,10,6,0.400133,0.454675,58298,65976
Octree 8 Levels,1024,10,4,0.168110,0.168110,301499,301499
Octree 9 Levels,1024,10,2,0.086961,0.000000,1048576,1089682
K-D Tree 7 Levels,100,5,143,6.325268,30.314864,0,0
K-D Tree 7 Levels,100,5,144,6.055323,30.292970,0,0
K-D Tree 7 Levels,100,5,143,6.048834,30.178540,0,0
K-D Tree 7 Levels,100,5,144,5.949511,30.526008,0,0
K-D Tree 8 Levels,200,5,91,5.557747,20.052513,0,0
K-D Tree 9 Levels,500,5,38,6.658936,7.504409,0,0
K-D Tree 8 Levels,300,5,58,4.891841,12.080229,0,0
K-D Tree 7 Levels,100,5,144,6.190681,30.350840,0,0
K-D Tree 7 Levels,100,5,144,6.229908,30.345350,0,0
K-D Tree 3 Levels,10,5,269,6.991101,59.552804,0,0
K-D Tree 3 Levels,10,5,269,7.100361,59.530828,0,0
K-D Tree 3 Levels,10,5,257,7.303702,59.733455,0,0
K-D Tree 3 Levels,10,5,250,7.372410,59.916061,0,0
