Simulation Name,Objects,Sim Time, Last Frame, Min FPS, Max FPS, Min Compared, Max Compared
No Collisions,128,10,411,6.427353,59.733455,0,0
Brute Force,128,10,292,4.666243,30.338766,16384,16384
Octree 1 Levels,128,10,284,5.005656,31.284200,132,164
Octree 2 Levels,128,10,297,14.947041,32.448584,116,242
Octree 3 Levels,128,10,360,4.829888,59.558724,34,343
Octree 4 Levels,128,10,348,4.886342,59.726650,6,300
Octree 5 Levels,128,10,345,12.282147,59.776872,0,375
Octree 6 Levels,128,10,338,12.023851,59.908359,2,592
Octree 7 Levels,128,10,318,7.511612,59.772613,0,1794
Octree 8 Levels,128,10,316,6.668220,59.569720,8,9204
Octree 9 Levels,128,10,222,3.327688,59.569720,6,37060
K-D Tree 7 Levels,128,10,223,4.773360,30.780720,0,0
No Collisions,256,10,290,4.563232,30.691751,0,0
Brute Force,256,10,141,8.563911,15.062934,65536,65536
Octree 1 Levels,256,10,148,7.210325,15.048234,264,331
Octree 2 Levels,256,10,149,7.168305,15.092310,277,463
Octree 3 Levels,256,10,191,6.806327,30.180494,143,712
Octree 4 Levels,256,10,268,7.284750,30.224208,27,805
Octree 5 Levels,256,10,266,7.154463,30.605305,16,915
Octree 6 Levels,256,10,258,6.305612,30.371279,4,1439
Octree 7 Levels,256,10,226,7.037624,30.384920,33,5026
Octree 8 Levels,256,10,190,4.285298,30.202226,12,14746
Octree 9 Levels,256,10,15,0.894482,3.529329,31534,141052
K-D Tree 8 Levels,256,10,137,7.348566,15.042837,0,0
No Collisions,512,10,195,4.960122,29.908683,0,0
Brute Force,512,10,46,4.132535,4.616400,262144,262144
Octree 1 Levels,512,10,53,4.196726,5.460125,579,640
Octree 2 Levels,512,10,54,4.612141,5.460423,635,910
Octree 3 Levels,512,10,58,4.615206,6.668984,611,1524
Octree 4 Levels,512,10,96,4.615800,15.034425,191,2181
Octree 5 Levels,512,10,113,4.283425,15.049584,81,2762
Octree 6 Levels,512,10,110,3.995717,20.069881,133,4896
Octree 7 Levels,512,10,78,2.603604,15.031247,243,16046
Octree 8 Levels,512,10,17,1.070293,2.854175,21395,70723
Octree 9 Levels,512,10,5,0.327515,0.340508,262144,369612
K-D Tree 9 Levels,512,10,75,6.443051,7.507901,0,0
No Collisions,1024,10,127,4.927420,15.050286,0,0
Brute Force,1024,10,14,1.274460,1.303011,1048576,1048576
Octree 1 Levels,1024,10,16,1.109905,1.536932,1211,1236
Octree 2 Levels,1024,10,16,1.332893,1.537012,1434,1748
Octree 3 Levels,1024,10,16,1.461915,1.577717,2147,3011
Octree 4 Levels,1024,10,17,1.296064,1.816296,2851,6438
Octree 5 Levels,1024,10,20,1.331646,3.327775,2851,9455
Octree 6 Levels,1024,10,17,1.109898,2.723853,6177,19528
Octree 7 Levels,1024,10,11,0.739841,1.331758,28026,56075
Octree 8 Levels,1024,10,5,0.285404,0.292362,286548,292207
Octree 9 Levels,1024,10,3,0.098576,0.000000,1048576,1658224
K-D Tree 10 Levels,1024,10,38,3.525147,3.749082,0,0
