Simulation Name,Objects,Sim Time, Last Frame, Min FPS, Max FPS, Min Compared, Max Compared
No Collisions,128,10,301,13.036437,59.400150,0,0
Brute Force,128,10,245,14.991597,30.494271,16384,16384
Octree 1 Levels,128,10,270,15.070457,30.507357,128,176
Octree 2 Levels,128,10,287,19.834601,30.531563,119,242
Octree 3 Levels,128,10,298,19.883024,30.456406,39,343
Octree 4 Levels,128,10,291,11.993012,30.523342,4,349
Octree 5 Levels,128,10,293,10.000796,59.032301,9,348
Octree 6 Levels,128,10,286,10.004398,30.557811,2,511
Octree 7 Levels,128,10,269,7.504288,59.045597,12,2040
Octree 8 Levels,128,10,217,4.615039,59.171379,20,8288
Octree 9 Levels,128,10,18,0.789694,2.400684,16384,117218
K-D Tree 7 Levels,128,10,201,17.886844,20.180058,0,0
No Collisions,256,10,297,19.900099,30.371059,0,0
Brute Force,256,10,100,8.579133,10.048427,65536,65536
Octree 1 Levels,256,10,118,9.489826,12.071016,268,324
Octree 2 Levels,256,10,118,9.953615,12.021680,280,485
Octree 3 Levels,256,10,160,8.575590,20.032497,133,711
Octree 4 Levels,256,10,189,6.668623,30.055276,40,996
Octree 5 Levels,256,10,204,6.668316,30.048171,17,1063
Octree 6 Levels,256,10,178,5.456012,30.039993,14,1662
Octree 7 Levels,256,10,154,4.287116,30.049678,52,4407
Octree 8 Levels,256,10,82,2.308382,20.119171,148,20158
Octree 9 Levels,256,10,10,0.461683,1.935752,50074,166324
K-D Tree 8 Levels,256,10,120,9.938873,12.231679,0,0
No Collisions,512,10,199,14.442549,20.265079,0,0
Brute Force,512,10,31,2.998851,3.159518,262144,262144
Octree 1 Levels,512,10,36,2.869381,3.531659,582,636
Octree 2 Levels,512,10,37,3.332388,3.751191,665,898
Octree 3 Levels,512,10,40,3.294350,4.616933,756,1616
Octree 4 Levels,512,10,61,2.858008,10.012614,276,2128
Octree 5 Levels,512,10,74,2.727894,12.010698,182,3062
Octree 6 Levels,512,10,57,2.400206,12.006229,340,5743
Octree 7 Levels,512,10,42,1.818675,10.004900,614,13399
Octree 8 Levels,512,10,11,0.789688,0.923414,48702,56690
Octree 9 Levels,512,10,5,0.267943,0.279155,228696,305080
K-D Tree 9 Levels,512,10,61,4.617315,6.016738,0,0
No Collisions,1024,10,120,9.810664,12.077725,0,0
Brute Force,1024,10,9,0.714737,0.731979,1048576,1048576
Octree 1 Levels,1024,10,10,0.870218,0.882877,1216,1233
Octree 2 Levels,1024,10,10,0.846002,0.882651,1591,1764
Octree 3 Levels,1024,10,10,0.870228,0.923370,2390,3044
Octree 4 Levels,1024,10,11,0.822559,1.034816,3505,6074
Octree 5 Levels,1024,10,11,0.779455,1.224884,5361,9731
Octree 6 Levels,1024,10,9,0.689876,1.017291,11368,18485
Octree 7 Levels,1024,10,6,0.434916,0.472506,51134,62756
Octree 8 Levels,1024,10,4,0.160895,0.160895,307990,307990
Octree 9 Levels,1024,10,2,0.087882,0.000000,1048576,1198311
K-D Tree 10 Levels,1024,10,30,2.501113,2.858581,0,0
